variable_id,block,item_text,response_type,scale,value_labels,missing_codes,reverse_keyed,index_membership,notes
SAT-00,A_anchor,"Overall, how satisfied or dissatisfied are you with [Organization] as an employer?",single,SAT-5,1=Very dissatisfied;2=Dissatisfied;3=Neither satisfied nor dissatisfied;4=Satisfied;5=Very satisfied,blank=skipped,no,criterion_secondary,Asked before the GAP matrix; headline trend metric
ENG-01,B_core,"Most days, my work gives me more energy than it takes.",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_ENG,Item order fixed across waves
ENG-02,B_core,I am proud to tell people where I work.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_ENG,Item order fixed across waves
ENG-03,B_core,My work gives me a real sense of accomplishment.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_ENG,Item order fixed across waves
ENG-04,B_core,"When my team needs extra effort, I am willing to give it.",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_ENG,Item order fixed across waves
ENG-05,B_core,I can see a future for myself at this organization.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_ENG,Item order fixed across waves
ENG-06,B_core,I care about what this organization is trying to achieve.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_ENG,Item order fixed across waves
NPS-01,C_nps,How likely are you to recommend [Organization] as a place to work to a friend or colleague?,single,NPS-11,0=Not at all likely;...;10=Extremely likely,blank=skipped,no,ENPS;NPS_CLASS,0-10 only; cutoffs 9-10 promoter / 0-6 detractor defined on this scale
NPS-02,C_nps,What is the main reason for your score?,open_text,,,blank=skipped,no,,Thematic coding; cross-tabbed by promoter class
GAP-PAY-I,D_gap,[Pay fairness] IMPORTANCE: My total pay reflects my skills and what I contribute.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_PAY;IMP_MED,No N/A option offered on importance
GAP-PAY-S,D_gap,[Pay fairness] SATISFACTION: My total pay reflects my skills and what I contribute.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_PAY;COV_PAY;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-REC-I,D_gap,[Recognition] IMPORTANCE: Good work here gets noticed and acknowledged.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_REC;IMP_MED,No N/A option offered on importance
GAP-REC-S,D_gap,[Recognition] SATISFACTION: Good work here gets noticed and acknowledged.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_REC;COV_REC;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-MGR-I,D_gap,[Manager relationship] IMPORTANCE: I can work with my direct manager openly and without friction.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_MGR;IMP_MED,No N/A option offered on importance
GAP-MGR-S,D_gap,[Manager relationship] SATISFACTION: I can work with my direct manager openly and without friction.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_MGR;COV_MGR;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-GRW-I,D_gap,[Career growth] IMPORTANCE: There is a realistic path to grow my career here.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_GRW;IMP_MED,No N/A option offered on importance
GAP-GRW-S,D_gap,[Career growth] SATISFACTION: There is a realistic path to grow my career here.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_GRW;COV_GRW;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
